Model,Accuracy,ROC-AUC,PR-AUC,Resampling
Decision Tree,0.8753623188405797,0.8766130515606955,0.902484814826426,ROS
XGBoost,0.8531400966183574,0.9266495118246098,0.9127583458691508,ROS
KNN,0.7734299516908213,0.8434860307237245,0.8370043809101189,ROS
Random Forest,0.9009661835748792,0.9679532486982144,0.966411766681026,ROS
Logistic Regression,0.7874396135265701,0.8603959369914355,0.8383491155499088,ROS
SVM,0.6560386473429952,0.7428407634153698,0.7587646072643242,ROS
Naive Bayes,0.755072463768116,0.8328915463540204,0.8134417344910212,ROS
Decision Tree,0.7152406417112299,0.7178997647496264,0.7835900302599832,RUS
XGBoost,0.7526737967914439,0.8229830319411372,0.7979150906118451,RUS
KNN,0.6858288770053476,0.7470093170588697,0.7397240163108558,RUS
Random Forest,0.7606951871657754,0.8391109108980271,0.8022618084898864,RUS
Logistic Regression,0.7754010695187166,0.8527146749040049,0.819338331788074,RUS
SVM,0.6270053475935828,0.6935309722490365,0.6960044498585491,RUS
Naive Bayes,0.7566844919786097,0.8327577207170488,0.7982462129694003,RUS
Decision Tree,0.8294685990338164,0.8307216704683067,0.8749136376595941,Smote
XGBoost,0.8545893719806763,0.9348350978358196,0.9477951118476926,Smote
KNN,0.7782608695652173,0.8449836559047421,0.8448216506185833,Smote
Random Forest,0.857487922705314,0.9358663490904542,0.9419944577084468,Smote
Logistic Regression,0.7869565217391304,0.8616167255975329,0.8399094150917259,Smote
SVM,0.6671497584541063,0.7511108476054337,0.7651314490602255,Smote
Naive Bayes,0.7676328502415459,0.8428095784521241,0.8212128579268854,Smote
Decision Tree,0.8303477344573235,0.8314002388822533,0.8691950538436268,Smote Tomek
XGBoost,0.875131717597471,0.9487069803616568,0.9556021826211696,Smote Tomek
KNN,0.8034773445732349,0.8717085636510096,0.8652028666414262,Smote Tomek
Random Forest,0.8724973656480506,0.9471375795116804,0.9490032694095262,Smote Tomek
Logistic Regression,0.7818756585879874,0.8726652037443406,0.8411798638469205,Smote Tomek
SVM,0.6743940990516333,0.7551362462153829,0.7534566267524507,Smote Tomek
Naive Bayes,0.7692307692307693,0.8473136857309518,0.8263736050100879,Smote Tomek
Decision Tree,0.8008637236084453,0.8022464537438438,0.8558395520762335,Adasyn
XGBoost,0.8498080614203455,0.93166775413607,0.944563929478378,Adasyn
KNN,0.7432821497120922,0.79714318101389,0.7851593371103236,Adasyn
Random Forest,0.8459692898272553,0.9323441969683568,0.9384691703782964,Adasyn
Logistic Regression,0.7437619961612284,0.8151214463711699,0.7717937222822777,Adasyn
SVM,0.6161228406909789,0.6928474925535992,0.6949414655315997,Adasyn
Naive Bayes,0.7279270633397313,0.7963478538146215,0.7652651090475598,Adasyn
Decision Tree,0.8183574879227054,0.8180460099586473,0.8662651348614333,Borderline Smote
XGBoost,0.8483091787439614,0.9368350436822904,0.9493359754133188,Borderline Smote
KNN,0.7739130434782608,0.827593837328401,0.8144296830469155,Borderline Smote
Random Forest,0.8545893719806763,0.9378270803124844,0.9453964761022428,Borderline Smote
Logistic Regression,0.7647342995169082,0.8344671339431518,0.7938109147879795,Borderline Smote
SVM,0.6236714975845411,0.6860687245630137,0.6893135520377859,Borderline Smote
Naive Bayes,0.7560386473429952,0.8277166164501615,0.7923122914736089,Borderline Smote
